code,ticker,name,exchange,board,listing_date,listing_time_local,timezone,listing_datetime_local,listing_date_source,listing_time_basis,basis_confidence,exact_first_trade_time_available,first_price_date,listing_minus_first_price_days,date_alignment_status,effective_price_start_date,identity_review_priority,identity_review_status,identity_review_note,bazi,day_stem,month_branch,main_god,auxiliary_gods,price_rows,last_price_date,price_file
sz.002097,SZ002097,山河智能,SZ,Shenzhen Main,2006-12-22,09:30:00,Asia/Shanghai,2006-12-22T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2006-12-22,0,aligned,2006-12-22,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 庚子 乙酉 辛巳,乙,子,丙,,4673,2026-09-18,by_symbol/SZ002097.parquet
sz.002098,SZ002098,浔兴股份,SZ,Shenzhen Main,2006-12-22,09:30:00,Asia/Shanghai,2006-12-22T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2006-12-22,0,aligned,2006-12-22,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 庚子 乙酉 辛巳,乙,子,丙,,4451,2026-09-18,by_symbol/SZ002098.parquet
sz.002099,SZ002099,海翔药业,SZ,Shenzhen Main,2006-12-26,09:30:00,Asia/Shanghai,2006-12-26T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2006-12-26,0,aligned,2006-12-26,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 庚子 己丑 己巳,己,子,丙,甲、戊,4584,2026-09-18,by_symbol/SZ002099.parquet
sz.002100,SZ002100,天康生物,SZ,Shenzhen Main,2006-12-26,09:30:00,Asia/Shanghai,2006-12-26T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2006-12-26,0,aligned,2006-12-26,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 庚子 己丑 己巳,己,子,丙,甲、戊,4592,2026-09-18,by_symbol/SZ002100.parquet
sz.002101,SZ002101,广东鸿图,SZ,Shenzhen Main,2006-12-29,09:30:00,Asia/Shanghai,2006-12-29T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2006-12-29,0,aligned,2006-12-29,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 庚子 壬辰 乙巳,壬,子,戊,丙,4660,2026-09-18,by_symbol/SZ002101.parquet
sz.002102,SZ002102,ST能特,SZ,Shenzhen Main,2006-12-29,09:30:00,Asia/Shanghai,2006-12-29T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2006-12-29,0,aligned,2006-12-29,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 庚子 壬辰 乙巳,壬,子,戊,丙,4400,2026-09-18,by_symbol/SZ002102.parquet
sz.002103,SZ002103,广博股份,SZ,Shenzhen Main,2007-01-10,09:30:00,Asia/Shanghai,2007-01-10T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-10,0,aligned,2007-01-10,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 甲辰 己巳,甲,丑,丁,庚、丙,4456,2026-09-18,by_symbol/SZ002103.parquet
sz.002104,SZ002104,恒宝股份,SZ,Shenzhen Main,2007-01-10,09:30:00,Asia/Shanghai,2007-01-10T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-10,0,aligned,2007-01-10,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 甲辰 己巳,甲,丑,丁,庚、丙,4716,2026-09-18,by_symbol/SZ002104.parquet
sz.002105,SZ002105,信隆健康,SZ,Shenzhen Main,2007-01-12,09:30:00,Asia/Shanghai,2007-01-12T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-12,0,aligned,2007-01-12,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 丙午 癸巳,丙,丑,壬,甲,4755,2026-09-18,by_symbol/SZ002105.parquet
sz.002106,SZ002106,莱宝高科,SZ,Shenzhen Main,2007-01-12,09:30:00,Asia/Shanghai,2007-01-12T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-12,0,aligned,2007-01-12,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 丙午 癸巳,丙,丑,壬,甲,4623,2026-09-18,by_symbol/SZ002106.parquet
sz.002107,SZ002107,沃华医药,SZ,Shenzhen Main,2007-01-24,09:30:00,Asia/Shanghai,2007-01-24T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-24,0,aligned,2007-01-24,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 戊午 丁巳,戊,丑,丙,甲,4739,2026-09-18,by_symbol/SZ002107.parquet
sz.002108,SZ002108,沧州明珠,SZ,Shenzhen Main,2007-01-24,09:30:00,Asia/Shanghai,2007-01-24T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-24,0,aligned,2007-01-24,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 戊午 丁巳,戊,丑,丙,甲,4714,2026-09-18,by_symbol/SZ002108.parquet
sz.002109,SZ002109,ST兴化,SZ,Shenzhen Main,2007-01-26,09:30:00,Asia/Shanghai,2007-01-26T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-26,0,aligned,2007-01-26,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 庚申 辛巳,庚,丑,丙,丁、甲,4577,2026-09-18,by_symbol/SZ002109.parquet
sz.002110,SZ002110,三钢闽光,SZ,Shenzhen Main,2007-01-26,09:30:00,Asia/Shanghai,2007-01-26T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-26,0,aligned,2007-01-26,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 庚申 辛巳,庚,丑,丙,丁、甲,4477,2026-09-18,by_symbol/SZ002110.parquet
sz.002111,SZ002111,威海广泰,SZ,Shenzhen Main,2007-01-26,09:30:00,Asia/Shanghai,2007-01-26T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-01-26,0,aligned,2007-01-26,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 辛丑 庚申 辛巳,庚,丑,丙,丁、甲,4656,2026-09-18,by_symbol/SZ002111.parquet
sz.002112,SZ002112,三变科技,SZ,Shenzhen Main,2007-02-08,09:30:00,Asia/Shanghai,2007-02-08T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-02-08,0,aligned,2007-02-08,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬寅 癸酉 丁巳,癸,寅,辛,丙,4414,2026-09-18,by_symbol/SZ002112.parquet
sz.002114,SZ002114,罗平锌电,SZ,Shenzhen Main,2007-02-15,09:30:00,Asia/Shanghai,2007-02-15T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-02-15,0,aligned,2007-02-15,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬寅 庚辰 辛巳,庚,寅,戊,甲、壬、丙、丁,4553,2026-09-18,by_symbol/SZ002114.parquet
sz.002115,SZ002115,三维通信,SZ,Shenzhen Main,2007-02-15,09:30:00,Asia/Shanghai,2007-02-15T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-02-15,0,aligned,2007-02-15,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬寅 庚辰 辛巳,庚,寅,戊,甲、壬、丙、丁,4562,2026-09-18,by_symbol/SZ002115.parquet
sz.002116,SZ002116,中国海诚,SZ,Shenzhen Main,2007-02-15,09:30:00,Asia/Shanghai,2007-02-15T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2007-02-15,0,aligned,2007-02-15,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丁亥 壬寅 庚辰 辛巳,庚,寅,戊,甲、壬、丙、丁,4679,2026-09-18,by_symbol/SZ002116.parquet
